DATE_TIME,PE,VWC,PRECIP,EFF_RAIN
2014-12-12,0.4,46.2,5.789999999999999,5.389999999999999
2014-12-13,0.1,45.4,0.0,-0.1
2014-12-14,0.4,48.9,0.0,-0.4
2014-12-15,0.2,50.9,0.14,-0.06
2014-12-16,0.1,49.8,4.870000000000001,4.770000000000001
2014-12-17,0.2,54.5,0.72,0.52
2014-12-18,0.2,46.8,0.51,0.31
2014-12-19,0.5,47.0,0.0,-0.5
2014-12-20,0.2,46.2,0.0,-0.2
2014-12-21,0.7,45.7,0.0,-0.7
2014-12-22,1.2,46.7,0.1,-1.0999999999999999
2014-12-23,0.8,43.5,1.07,0.27
2014-12-24,0.2,46.7,0.54,0.34
2014-12-25,0.3,45.5,0.41000000000000003,0.11000000000000004
2014-12-26,0.3,46.4,6.929999999999999,6.629999999999999
2014-12-27,0.3,48.5,2.5,2.2
2014-12-28,0.1,52.6,0.0,-0.1
2014-12-29,0.1,47.0,0.0,-0.1
2014-12-30,0.3,49.0,0.08,-0.21999999999999997
2014-12-31,0.2,51.1,0.0,-0.2
2015-01-01,0.6,49.1,0.16999999999999998,-0.43
2015-01-02,0.6,46.4,0.08,-0.52
2015-01-03,0.3,44.6,0.0,-0.3
2015-01-04,0.1,44.2,0.0,-0.1
2015-01-05,0.2,49.0,0.0,-0.2
2015-01-06,0.2,48.9,0.0,-0.2
2015-01-07,0.5,50.7,0.25,-0.25
2015-01-08,0.4,47.8,0.0,-0.4
2015-01-09,1.2,42.8,0.07,-1.13
2015-01-10,1.0,41.6,0.07,-0.9299999999999999
2015-01-11,0.7,42.9,0.0,-0.7
2015-01-12,0.7,42.6,0.28,-0.41999999999999993
2015-01-13,0.3,43.8,0.0,-0.3
2015-01-14,0.6,44.0,1.82,1.2200000000000002
2015-01-15,1.1,48.8,2.0100000000000002,0.9100000000000001
2015-01-16,0.3,49.4,0.47,0.16999999999999998
2015-01-17,0.4,47.5,0.5900000000000001,0.19000000000000006
2015-01-18,0.5,47.9,1.18,0.6799999999999999
2015-01-19,0.2,54.2,0.32999999999999996,0.12999999999999995
2015-01-20,0.4,51.4,0.0,-0.4
2015-01-21,0.3,47.2,2.08,1.78
2015-01-22,0.2,48.7,0.27,0.07
2015-01-23,0.4,52.7,0.54,0.14
2015-01-24,0.3,50.4,0.0,-0.3
2015-01-25,0.3,50.2,0.0,-0.3
